path,user,test,no_para,are_timestamps_distinct,initial_rows,final_rows,dropped_rows
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024b_test15_BDS_15_11-09-2019/User024b_test15_BDS_15_11-09-2019_recording0,24,15,5,TRUE,11291,7242,4049
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024b_test13_BES_13_11-09-2019/User024b_test13_BES_13_11-09-2019_recording0,24,13,5,TRUE,11021,9556,1465
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024b_test12_IES_12_11-09-2019/User024b_test12_IES_12_11-09-2019_recording0,24,12,5,TRUE,8709,7223,1486
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024b_test14_IDS_14_11-09-2019/User024b_test14_IDS_14_11-09-2019_recording0,24,14,5,TRUE,9366,8011,1355
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024c_test1_BET_01_11-09-2019/User024c_test1_BET_01_11-09-2019_recording0,24,1,5,TRUE,7188,5405,1783
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024d_test4_IES_04_11-09-2019/User024d_test4_IES_04_11-09-2019_recording0,24,4,5,TRUE,8180,6034,2146
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024a_test11_BDT_11_11-09-2019/User024a_test11_BDT_11_11-09-2019_recording0,24,11,5,TRUE,8680,7622,1058
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024d_test7_BDS_07_11-09-2019/User024d_test7_BDS_07_11-09-2019_recording0,24,7,5,TRUE,6137,4743,1394
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024c_test2_IDT_02_11-09-2019/User024c_test2_IDT_02_11-09-2019_recording0,24,2,5,TRUE,7050,5369,1681
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024d_test5_BES_05_11-09-2019/User024d_test5_BES_05_11-09-2019_recording0,24,5,5,TRUE,7487,5470,2017
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024c_test0_IET_00_11-09-2019/User024c_test0_IET_00_11-09-2019_recording0,24,0,5,TRUE,9041,7042,1999
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024c_test3_BDT_03_11-09-2019/User024c_test3_BDT_03_11-09-2019_recording0,24,3,5,TRUE,3955,3256,699
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024d_test6_IDS_06_11-09-2019/User024d_test6_IDS_06_11-09-2019_recording0,24,6,5,TRUE,7561,5820,1741
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024a_test10_IDT_10_11-09-2019/User024a_test10_IDT_10_11-09-2019_recording0,24,10,5,TRUE,9701,8458,1243
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024a_test8_IET_08_11-09-2019/User024a_test8_IET_08_11-09-2019_recording0,24,8,5,TRUE,10655,9433,1222
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User024a_Group_Test_11-09-2019--13-23-55/User024a_test9_BET_09_11-09-2019/User024a_test9_BET_09_11-09-2019_recording0,24,9,5,TRUE,10105,8968,1137
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008b_test7_BDS_07_03-09-2019/User008b_test7_BDS_07_03-09-2019_recording0,8,7,5,TRUE,14922,11992,2930
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008a_test1_BET_01_03-09-2019/User008a_test1_BET_01_03-09-2019_recording0,8,1,5,TRUE,13114,7484,5630
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008a_test2_IDT_02_03-09-2019/User008a_test2_IDT_02_03-09-2019_recording0,8,2,5,TRUE,15807,9985,5822
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008b_test4_IES_04_03-09-2019/User008b_test4_IES_04_03-09-2019_recording0,8,4,5,TRUE,22781,20340,2441
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008d_test12_IES_12_03-09-2019/User008d_test12_IES_12_03-09-2019_recording0,8,12,5,TRUE,17206,12655,4551
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008d_test14_IDS_14_03-09-2019/User008d_test14_IDS_14_03-09-2019_recording0,8,14,5,TRUE,17013,12523,4490
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008a_test0_IET_00_03-09-2019/User008a_test0_IET_00_03-09-2019_recording0,8,0,5,TRUE,15149,12930,2219
